gvkey,tic,act,at,capx,che,cogs,ib,pi,revt,txc,txdb,txdc,txdi,txt,state,Total Income Taxes as % of pretax income,Total Income Deferred Taxes as % of pretax income,Total Income Deferred Taxes as % of total assets,ticker,co_per_rol,pceo,bonus,opt_exer_val,opt_unex_unexer_est_val,othcomp,salary,stock_awards,stock_unvest_val,tdc1,tdc2,total_sec,Stock as % of total compensation,Options as % of total compensation
2269,HRB,1187.486,3072.258,69.698,1015.316,1792.951,561.8,711.212,3472.185,134.667,3.944,49.579,14.745,149.412,Missouri,0.2100808197836932,0.06971057856166657,0.016137642086048763,HRB,60447,CEO,0.0,0.0,0.0,178.4,997.734,6200.037,3547.073,8814.357,8814.357,8814.357,0.703402074592622,0.0
2312,RHI,2297.139,3010.789,45.874,1302.786,3766.149,411.146,576.583,6392.517,182.075,0.341,-16.568,-16.638,165.437,California,0.2869266003333432,-0.02873480487631443,-0.00550287648852178,RHI,11783,CEO,0.0,0.0,0.0,383.774,500.0,5184.571,9405.506,13311.408,13311.408,8126.837,0.38948329132425363,0.0
2352,BRC,524.82,1389.257,19.226,151.532,642.218,174.857,225.696,1331.863,63.311,14.952,-12.472,-12.472,50.839,Wisconsin,0.22525432440096413,-0.055260172976038566,-0.008977460613838908,BRC,51553,CEO,0.0,0.0,322.309,141.087,774.808,1164.39,1197.584,3242.497,3242.497,3242.497,0.359102876579377,0.0
2435,BF.B,3801.0,7777.0,183.0,384.0,1654.0,783.0,1017.0,4228.0,237.0,323.0,-3.0,-3.0,234.0,Kentucky,0.23008849557522124,-0.0029498525073746312,-0.00038575286100038574,BF.B,55559,CEO,0.0,305.109,0.0,108.986,1250.04,4765.947,0.0,5065.955,5371.064,13194.16,0.9407795766050034,0.06022734114298291
2436,CAL,831.455,1836.472,55.913,41.59,1634.254,181.742,213.034,2968.138,22.925,19.001,4.27,10.414,33.339,Missouri,0.15649614615507385,0.02004374888515448,0.002325110320222688,CAL,45074,CEO,0.0,0.0,0.0,105.564,1067.308,4000.038,6255.449,7193.317,7193.317,7804.523,0.556076980897686,0.0
2444,BC,2509.7,6230.5,289.3,479.7,4341.5,432.6,628.9,6401.4,179.9,12.4,16.4,16.4,196.3,Illinois,0.3121322944824297,0.026077277786611543,0.002632212503009389,BC,60897,CEO,0.0,0.0,0.0,389.617,1162.885,8179.896,11382.889,2666.502,2666.502,10846.398,3.0676504274138927,0.0
2497,MTZ,3974.253,9373.511,192.941,529.561,10605.962,-49.949,-82.704,11995.934,105.5,390.399,-140.863,-140.9,-35.408,Florida,0.42812923195976016,1.7032187076804026,-0.015027773477835573,MTZ,24684,CEO,0.0,0.0,0.0,44.068,1209.615,7000.0,14697.63,9603.683,9603.683,9603.683,0.7288870321937948,0.0
2504,UIS,971.0,1965.4,21.3,387.7,1370.0,-430.7,-347.8,2015.4,54.8,0.9,24.5,24.5,79.3,Pennsylvania,-0.22800460034502587,-0.07044278320874066,0.01246565584613819,UIS,51968,CEO,0.0,0.0,0.0,23.463,991.0,2249.583,1590.926,6133.409,6133.409,6133.408,0.36677531206544356,0.0
2536,RAMP,714.559,1172.703,4.696,509.365,149.297,-124.106,-118.854,596.583,5.137,0.298,0.115,0.115,5.252,California,-0.044188668450367674,-0.0009675736618035574,9.806404520155573e-05,RAMP,46156,CEO,0.0,394.968,0.0,50.912,690.0,8126.936,5975.091,10082.247,10477.215,10082.248,0.8060639657012966,0.03917460066193578
2547,CI,37351.0,152761.0,1573.0,8565.0,168872.0,5164.0,5513.0,195244.0,1800.0,7173.0,-1659.0,-1659.0,141.0,Connecticut,0.02557591148195175,-0.3009250861599855,-0.01086010172753517,CI,30516,CEO,0.0,0.0,2308.439,310.437,1500.0,12656.213,18259.563,8310.457,5110.437,21047.255,1.5229262361865297,0.0
2574,CSX,3384.0,42408.0,2281.0,1436.0,7622.0,3715.0,4891.0,14657.0,1036.0,7746.0,140.0,140.0,1176.0,Florida,0.24044162747904313,0.02862400327131466,0.0033012639124693453,CSX,69040,CEO,0.0,0.0,608.829,259.2,1400.0,8000.032,6613.303,14074.235,12074.232,14074.235,0.5684168269181238,0.0
2596,CACI,1210.037,6600.808,63.717,115.776,4402.728,384.735,483.639,6702.546,244.917,120.545,-146.013,-146.013,98.904,Virginia,0.20449963712603822,-0.30190493322498807,-0.02212047373594263,CACI,46294,CEO,0.0,0.0,0.0,264.41,1045.833,6700.105,17305.809,3184.493,3184.493,10524.801,2.1039785611084714,0.0
2628,CWT,296.285,4595.533,383.747,84.966,611.474,51.911,44.595,794.632,0.003,352.762,35.627,-6.784,-6.781,California,-0.15205740553873753,0.7989012221101021,0.007752528379189095,CWT,51977,CEO,0.0,0.0,0.0,69.556,1050.005,1225.666,576.068,3794.227,3794.227,4856.752,0.32303444153446803,0.0
2663,CPB,2061.0,12058.0,370.0,189.0,6076.0,858.0,1128.0,9357.0,275.0,1067.0,-5.0,-5.0,270.0,New Jersey,0.2393617021276596,-0.004432624113475178,-0.0004146624647536905,CPB,62316,CEO,0.0,0.0,0.0,726.855,1202.833,7301.734,7609.327,11699.822,11699.822,11699.822,0.624089323752105,0.0
2710,STZ,3496.1,24662.3,1035.4,133.5,4296.6,-71.0,383.6,9452.6,214.3,569.5,207.8,207.8,422.1,New York,1.1003649635036497,0.5417101147028154,0.00842581592146718,STZ,60340,CEO,0.0,3841.698,263.581,224.692,1350.0,8303.888,1460.552,6325.126,8166.719,14629.014,1.312841514935829,0.6073709835977971
2751,CAH,33833.0,43417.0,481.0,4043.0,197686.0,261.0,638.0,205012.0,407.0,2096.0,-31.0,-31.0,376.0,Ohio,0.5893416927899686,-0.048589341692789965,-0.0007140060345026142,CAH,64680,CEO,0.0,0.0,0.0,325.588,1245.534,14828.888,9903.087,18783.767,18783.767,18783.767,0.789452296762412,0.0
2787,CRS,1281.9,3053.9,82.3,44.5,2082.0,56.4,72.5,2550.3,16.5,170.3,-0.4,-0.4,16.1,Pennsylvania,0.2220689655172414,-0.005517241379310345,-0.00013098005828612595,CRS,47793,CEO,0.0,0.0,0.0,154.693,970.898,3785.07,5790.651,6432.797,6432.797,6432.797,0.5884019035576593,0.0
2807,CASY,920.955,5943.27,476.568,378.869,12022.069,446.691,587.518,15094.475,117.701,543.598,23.126,23.126,140.827,Iowa,0.2396981879704111,0.03936219826456381,0.0038911239099014513,CASY,64609,CEO,0.0,0.0,0.0,57.333,1200.0,6542.924,4586.293,10626.258,10626.258,10626.257,0.6157317091303448,0.0
2817,CAT,46949.0,87476.0,3092.0,7941.0,41223.0,10335.0,13113.0,67060.0,3373.0,454.0,-592.0,-592.0,2781.0,Texas,0.212079615648593,-0.0451460382826203,-0.006767570533632082,CAT,48694,CEO,0.0,61129.616,17223.686,1343.949,1752.5,8499.949,0.0,25830.332,78459.914,25830.332,0.32906851526337333,2.366582667230139
