gvkey,tic,act,at,capx,che,cogs,ib,pi,revt,txc,txdb,txdc,txdi,txt,state,Total Income Taxes as % of pretax income,Total Income Deferred Taxes as % of pretax income,Total Income Deferred Taxes as % of total assets
3026,CHD,1529.7,8569.2,223.5,344.5,3082.3,755.6,967.4,5867.9,225.6,743.1,-13.8,-13.8,211.8,New Jersey,0.21893735786644616,-0.014265040314244368,-0.0016104187088643047
3028,CHDN,400.8,6955.5,676.5,221.8,1497.0,417.3,561.8,2461.7,97.1,388.2,47.4,47.4,144.5,Kentucky,0.25720897116411534,0.08437166251334995,0.006814750916540867
3039,CIN1,761.0,12216.0,939.0,24.0,1616.0,334.0,397.0,2507.0,-49.0,1272.0,113.0,112.0,63.0,Ohio,0.15869017632241814,0.28463476070528965,0.009250163719711853
3062,CTAS,2938.459,8546.356,331.109,124.149,4409.86,1348.01,1693.148,8815.769,318.207,498.356,23.233,26.931,345.138,Ohio,0.20384396402440896,0.013721777422883294,0.0027184685496368277
3105,IHRT,1506.916,6952.611,102.67,346.382,1494.234,-1102.66,-1162.677,3751.025,82.25,339.768,-144.588,-144.588,-62.338,Texas,0.0536159225649084,0.1243578397095668,-0.020796215982743747
3107,CLF,6636.0,17537.0,646.0,198.0,19627.0,398.0,597.0,21996.0,34.0,639.0,114.0,114.0,148.0,Ohio,0.24790619765494137,0.19095477386934673,0.0065005417118093175
3121,CLX,1828.0,5945.0,228.0,367.0,4278.0,149.0,238.0,7389.0,226.0,28.0,-149.0,-149.0,77.0,California,0.3235294117647059,-0.6260504201680672,-0.025063078216989068
3138,COKE,1705.128,4288.942,282.304,635.269,3900.379,408.375,557.481,6653.858,198.127,128.435,-49.021,-49.021,149.106,North Carolina,0.2674638238791995,-0.08793304166420021,-0.01142962530153124
3144,KO,26732.0,97703.0,1852.0,13663.0,17394.0,10714.0,12952.0,45754.0,2251.0,2639.0,-2.0,-2.0,2249.0,Georgia,0.17364113650401483,-0.00015441630636195183,-2.0470200505613952e-05
3158,COHU,638.818,1150.352,16.053,335.698,319.028,28.156,45.816,636.322,22.434,23.154,-4.774,-4.774,17.66,California,0.38545486292998077,-0.10419940632093591,-0.004150034076526142
3198,CGP1,42.0,1524.0,38.0,0.0,101.0,132.0,132.0,334.0,0.0,0.0,0.0,0.0,0.0,Colorado,0.0,0.0,0.0
3203,CCF,184.788,600.806,7.306,49.019,223.76,33.182,43.191,404.015,16.45,27.77,-6.441,-6.441,10.009,Massachusetts,0.23173809358431155,-0.14912829061610056,-0.010720598662463424
3226,CMCSA,23987.0,264811.0,12379.0,6525.0,83922.0,15388.0,20478.0,121572.0,8110.0,26003.0,-2739.0,-2739.0,5371.0,Pennsylvania,0.26228147280007813,-0.13375329622033402,-0.010343225923394421
3336,DXC,6124.0,15845.0,267.0,1858.0,11442.0,-568.0,-885.0,14430.0,290.0,168.0,-609.0,-609.0,-319.0,Virginia,0.36045197740112994,0.688135593220339,-0.03843483748816661
3358,CMTL,305.486,996.237,18.311,18.961,353.612,-26.899,-30.847,549.994,2.112,9.494,-6.06,-6.06,-3.948,Arizona,0.1279865140856485,0.19645346387006837,-0.006082889914749201
