gvkey,datadate,tic,act,aedi,at,capx,che,cogs,ib,lct,lt,pi,revt,txach,txc,txdb,txdc,txdi,txt,state
2176,12/31/2023,BRK.B,,,1069978,,,,96223,,499208,120166,438310,,7642,92344,,15377,23019,NE
2176,12/31/2023,BRK.B,,,1069978,19409,187137,301955,96223,,499208,120166,436337,,23019,92344,,15377,23019,NE
2184,1/31/2023,BBY,8802,,15803,930,2253,35554,1419,8979,13008,1789,46298,36,319,51,51,51,370,MN
2220,12/31/2023,BIO,3048.33,,12299.07,156.68,1612.853,1100.651,-637.324,522.799,3557.937,-850.104,2671.262,-21.3,103.22,1475.495,-322.6,-322.6,-212.78,CA
2240,7/31/2023,NIMU,0.023,,0.023,0,0.007,0,-0.199,0.291,0.635,-0.199,0,0,0,0,0,0,0,FL
2259,12/31/2023,BKH,826.6,,9620.4,555.6,93,1601.8,262.2,1185.1,6314.6,301.6,2331.3,,0.2,548,25.4,25.4,25.6,SD
2269,6/30/2023,HRB,1187.486,,3072.258,69.698,1015.316,1792.951,561.8,938.782,3040.194,711.212,3472.185,,134.667,3.944,49.579,14.745,149.412,MO
2270,12/31/2023,VAL,1272.2,,4322.2,696.1,635.7,1543.6,865.4,744.3,2325.2,84.2,1784.2,,,29.9,-786.4,-786.4,-782.6,
2277,10/31/2023,BRRE,,,23.746,0.284,9.348,6.596,2.403,,1.828,3.231,11.29,0,0.319,0.644,0.509,0.509,0.828,PA
2285,12/31/2023,BA,109275,,137012,1527,15965,66980,-2222,95827,154240,-2005,77794,,207,229,,30,237,VA
2312,12/31/2023,RHI,2297.139,,3010.789,45.874,1302.786,3766.149,411.146,1235.111,1422.438,576.583,6392.517,10.721,182.075,0.341,-16.568,-16.638,165.437,CA
2352,7/31/2023,BRC,524.82,,1389.257,19.226,151.532,642.218,174.857,258.036,398.338,225.696,1331.863,4.094,63.311,14.952,-12.472,-12.472,50.839,WI
2369,12/31/2023,BN,,,490095,16282,13492,66957,1130,,321853,6116,102425,0,,24987,-897,-897,1011,ON
2369,12/31/2023,BN,,0,490095,,,,1130,,321853,6116,103756,,1908,24987,,-897,1011,ON
2390,10/31/2023,BRID,87.477,,166.998,2.603,15.708,174.721,3.474,17.981,37.463,4.495,251.636,0.032,1.652,8.342,-0.631,-0.631,1.021,TX
2403,12/31/2023,BMY,31770,,95159,1209,12335,9796,8025,22262,65674,8440,45006,-603,,338,-3288,-3288,400,NJ
2408,12/31/2023,TU,6313,,56136,2622,864,12968,841,9478,38834,1089,20005,,,4390,-140,-140,222,BC
2410,12/31/2023,BP,104146,,280294,14285,33873,146073,15239,86078,194801,23749,210130,,,9617,-806,-806,7869,
2435,4/30/2023,BF.B,3801,,7777,183,384,1654,783,1084,4509,1017,4228,-57,237,323,-3,-3,234,KY
2436,1/31/2023,CAL,831.455,,1836.472,55.913,41.59,1634.254,181.742,911.196,1410.359,213.034,2968.138,,22.925,19.001,4.27,10.414,33.339,MO
2444,12/31/2023,BC,2509.7,,6230.5,289.3,479.7,4341.5,432.6,1752.1,4143.1,628.9,6401.4,,179.9,12.4,16.4,16.4,196.3,IL
2448,12/31/2023,MTRN,709.382,,1762.726,119.876,13.294,1274.545,95.702,254.995,877.673,107.831,1665.187,,,20.109,-7.005,-7.005,12.129,OH
